med_name,hour,minute,second,pills,servoNum,pillsInTape,dosesPerDay,triggered,notifiedLowDays,lastNotifyTime
MedD,1,41,27,2,3,32,3,True,True,1606204546
MedD,11,50,24,1,4,25,1,False,False,1601210117
MedB,18,18,55,4,1,40,1,True,False,1690925030
MedA,14,0,47,5,6,91,4,True,False,1666736922
MedB,22,37,59,3,9,66,3,False,True,1680343728
MedD,2,18,11,3,10,3,2,True,True,1646398446
MedD,21,2,38,1,8,86,2,True,False,1648710161
MedA,20,4,14,5,5,54,2,True,True,1611450716
MedD,0,30,12,2,9,10,2,True,False,1619570303
MedC,10,36,0,2,4,22,3,False,True,1669714169
MedA,16,15,3,3,6,93,3,True,True,1655008196
MedA,2,1,29,2,9,50,1,True,True,1600538895
MedB,11,2,16,5,7,56,1,False,False,1638333173
MedE,19,31,49,4,1,85,3,False,False,1611349489
MedC,10,13,20,5,1,67,2,False,False,1675870881
MedD,11,44,50,1,1,43,4,False,True,1685745666
MedD,3,35,3,5,3,51,1,True,True,1664376006
MedE,9,4,32,1,4,13,1,False,False,1663269532
MedC,8,34,6,3,3,78,2,True,True,1649610089
MedA,22,59,26,1,4,67,4,False,True,1682611120
MedC,5,45,45,4,10,84,2,False,False,1611390417
MedA,1,18,6,5,5,55,2,True,False,1615112041
MedC,20,40,39,2,2,37,2,False,True,1693152733
MedE,0,15,32,2,5,37,1,False,False,1650645333
MedA,19,22,19,1,5,96,3,True,False,1634886862
MedC,0,57,5,2,9,61,4,False,False,1695928163
MedD,5,58,8,1,8,86,1,True,False,1636394292
MedB,18,22,54,5,6,36,2,False,False,1632873380
MedA,4,8,46,4,4,4,3,True,False,1688557224
MedA,14,36,56,1,7,74,3,False,False,1623625518
MedC,12,20,51,3,9,55,4,False,False,1602639858
MedA,13,43,57,1,3,35,4,False,True,1619052435
MedD,11,17,17,1,6,76,4,True,True,1673910579
MedC,13,8,17,3,8,24,3,False,False,1660390423
MedC,3,20,26,3,8,47,3,True,True,1697819289
MedC,11,3,35,5,7,86,3,False,False,1682561617
MedD,13,16,22,3,2,8,3,False,False,1691877066
MedC,10,37,24,2,9,86,2,False,True,1600550841
MedD,18,35,12,5,7,7,2,False,True,1646166139
MedD,20,27,50,4,3,36,3,True,False,1664810923
MedC,8,40,25,3,7,13,1,False,True,1679887689
MedD,10,34,34,4,7,18,1,False,False,1618905551
MedD,21,46,22,3,2,62,1,True,True,1602305905
MedC,10,27,29,1,8,72,4,True,False,1694245278
MedD,18,4,42,4,4,47,3,True,True,1653812935
MedD,4,55,10,3,5,44,3,True,False,1668504180
MedC,6,59,36,4,1,91,1,True,True,1623610747
MedD,20,27,39,1,2,31,4,False,True,1664505998
MedB,22,52,6,2,8,60,4,True,False,1639465660
MedE,4,54,41,1,5,4,2,True,False,1622208379
MedE,15,52,26,1,10,34,3,False,True,1639403540
MedE,20,23,6,1,4,60,1,True,True,1630643516
MedB,13,54,24,2,7,7,1,False,False,1608983259
MedC,4,39,51,2,7,54,4,True,True,1650939764
MedA,15,47,24,3,1,97,3,True,True,1685623510
MedE,8,25,21,3,7,71,1,False,False,1692021016
MedC,19,51,50,1,3,9,1,True,False,1694175025
MedC,8,30,46,1,6,1,1,False,True,1643238935
MedD,11,49,2,1,3,75,4,False,True,1672065528
MedC,19,31,44,3,1,8,1,True,False,1624355631
MedD,11,53,32,4,2,5,3,True,True,1693752858
MedD,20,3,58,3,4,19,3,False,True,1695498447
MedA,19,3,2,4,3,27,3,True,True,1633336801
MedC,4,17,14,2,4,49,2,True,True,1654091504
MedE,9,27,54,5,9,35,4,False,True,1631758319
MedA,4,58,33,2,4,46,4,False,True,1672105696
MedC,3,53,37,1,6,10,2,True,True,1601642845
MedD,14,51,0,3,9,78,1,False,True,1678148859
MedC,23,37,44,5,7,75,1,False,True,1681313274
MedE,23,19,34,2,5,94,4,True,False,1646865989
MedA,11,43,42,1,4,41,2,True,False,1630188812
MedC,9,42,22,5,5,93,1,True,False,1609314527
MedA,14,30,35,1,2,70,3,False,False,1697490965
MedA,1,22,49,1,9,67,2,False,False,1657167132
MedB,17,58,3,4,8,84,3,True,False,1663143117
MedD,15,2,56,3,4,13,1,True,False,1607126581
MedB,17,10,21,5,1,92,2,True,False,1655829062
MedB,1,35,1,4,2,21,4,False,False,1680371606
MedA,19,52,0,3,3,36,1,True,True,1668321816
MedA,5,14,33,5,2,41,1,False,True,1665809364
MedB,11,14,57,4,2,64,3,True,True,1667475668
MedE,1,28,15,2,8,37,2,False,False,1633360701
MedA,23,2,48,2,1,57,3,True,True,1601962776
MedD,21,10,37,1,3,69,3,True,False,1699420761
MedA,2,45,19,4,1,85,3,True,True,1671410529
MedC,13,6,57,1,10,67,1,False,True,1639765249
MedC,17,5,16,4,4,27,3,False,False,1665121614
MedA,1,42,35,5,1,20,3,False,True,1607794048
MedC,2,18,15,5,9,49,3,False,True,1610525417
MedE,16,37,31,2,4,75,2,False,False,1674921769
MedA,23,30,49,1,9,95,4,True,False,1631132570
MedA,1,9,18,4,8,59,1,False,True,1677708762
MedE,9,45,51,4,4,25,3,False,False,1629771259
MedE,21,30,8,1,4,77,4,False,True,1681532925
MedD,12,48,47,2,4,63,1,True,False,1648040193
MedC,21,40,6,1,9,46,4,False,True,1671501695
MedB,12,49,38,3,8,34,2,False,True,1641253427
MedC,22,37,57,5,3,47,3,False,False,1641208300
MedC,0,49,34,2,1,95,3,False,False,1648471256
MedC,3,23,55,1,3,11,3,False,False,1647338652
MedB,17,11,22,3,5,28,3,True,True,1671713861
MedD,11,33,10,1,2,80,4,False,False,1604720671
MedE,19,56,37,1,10,53,1,True,True,1623688720
MedE,15,13,32,5,2,99,3,True,False,1671820798
MedB,14,59,50,1,10,54,4,True,False,1645421854
MedC,7,18,49,2,4,17,4,True,False,1633616034
MedB,15,50,15,1,10,20,2,True,True,1683872142
MedB,16,0,39,2,3,92,1,True,False,1617779650
MedE,14,37,53,3,6,32,4,True,True,1615335919
MedE,17,20,5,3,5,80,4,False,False,1600980474
MedC,3,32,7,1,1,14,4,False,True,1634135251
MedC,4,33,36,2,8,25,2,False,True,1622889096
MedE,11,54,13,3,6,92,1,False,True,1681507869
MedE,19,49,7,5,9,17,3,True,True,1673322430
MedB,15,23,53,5,9,1,3,True,True,1688803329
MedA,1,33,52,2,1,12,3,False,False,1649692715
MedB,19,29,18,4,5,97,3,True,False,1602349968
MedC,14,45,47,4,1,18,4,False,False,1678150755
MedE,6,36,30,3,7,27,3,True,False,1638493173
MedA,0,41,5,2,6,61,2,False,False,1690449933
MedC,1,44,58,3,2,30,2,True,True,1697131379
MedA,0,51,44,2,9,1,4,True,False,1655385394
MedA,17,53,47,3,5,62,3,False,True,1635930962
MedA,1,0,42,2,4,96,1,False,True,1690695212
MedD,3,28,41,5,4,33,3,True,True,1620423470
MedC,20,14,2,1,1,97,4,True,False,1668415052
MedD,1,7,19,1,7,9,3,False,True,1664167000
MedB,16,5,50,3,10,38,4,False,True,1691473791
MedA,15,40,46,4,4,41,4,False,False,1640234338
MedA,20,54,52,3,6,48,3,True,False,1602226570
MedE,17,20,47,2,1,96,2,True,False,1683038552
MedB,11,12,15,4,6,98,2,True,False,1699830576
MedA,16,33,28,3,3,71,3,False,False,1667244007
MedC,0,52,18,5,1,38,1,True,True,1696451861
MedE,19,50,12,5,5,97,4,True,False,1641914526
MedB,12,13,22,3,1,77,2,False,False,1649735901
MedB,7,7,2,3,4,78,1,True,True,1695277590
MedC,11,11,29,5,9,64,2,False,False,1687676647
MedC,22,42,16,3,8,57,1,True,True,1656293811
MedE,14,34,32,2,5,89,4,True,False,1637444380
MedA,9,29,31,2,8,45,1,True,False,1623504363
MedC,10,53,42,4,2,46,4,True,True,1661937813
MedD,16,15,35,5,1,62,3,True,False,1611823684
MedB,6,22,38,1,3,83,3,True,True,1651907838
MedB,4,3,56,5,1,17,2,True,False,1656854885
MedE,9,53,11,5,4,41,3,False,True,1607435404
MedE,23,0,4,3,6,7,4,False,True,1692238599
MedA,9,55,12,3,7,91,1,True,False,1613389105
MedE,7,37,38,5,8,99,2,False,True,1670376429
MedC,20,38,53,1,6,99,2,False,False,1654024726
MedE,20,18,35,1,8,68,1,False,True,1684518978
MedE,19,53,37,4,5,64,2,False,False,1631137643
MedC,9,28,20,2,8,80,1,True,False,1692483300
MedE,4,8,14,5,9,28,4,True,False,1647378209
MedD,13,22,15,3,8,22,2,True,False,1668699019
MedE,21,1,55,1,10,21,4,False,True,1687830010
MedE,22,52,29,4,9,98,2,False,False,1642992498
MedD,22,25,2,1,7,72,4,True,True,1635772565
MedD,2,31,44,2,7,70,2,True,False,1688185466
MedB,16,34,8,2,2,50,1,True,False,1603290583
MedA,2,28,37,3,4,86,4,False,False,1637823715
MedC,1,25,58,2,9,30,2,True,False,1691502490
MedA,4,57,35,3,7,55,1,True,False,1677440717
